brand,category,gender,us,uk,eu,mondo_cm,source_label,nike_url
nike,men-shoes,men,16.0,15.0,50.5,32.2,16 US,/w/mens-shoes-1je5yznik1zy7ok
nike,men-shoes,men,17.0,16.0,51.5,33.0,17 US,/w/mens-shoes-48901znik1zy7ok
nike,men-shoes,men,18.0,17.0,53.0,33.9,18 US,/w/mens-shoes-5pxh3znik1zy7ok
nike,older-kids-shoes,kids,1Y,13.5,32.0,,1 Y,/w/older-kids-shoes-51udizagibjzv4dhzy7ok
nike,older-kids-shoes,kids,1.5Y,1.0,33.0,,1.5 Y,/w/older-kids-shoes-3quq7zagibjzv4dhzy7ok
nike,older-kids-shoes,kids,2Y,1.5,33.5,,2 Y,/w/older-kids-shoes-a9ncqzagibjzv4dhzy7ok
nike,older-kids-shoes,kids,2.5Y,2.0,34.0,,2.5 Y,/w/older-kids-shoes-6hvv3zagibjzv4dhzy7ok
nike,older-kids-shoes,kids,3Y,2.5,35.0,,3 Y,/w/older-kids-shoes-75n0izagibjzv4dhzy7ok
nike,older-kids-shoes,kids,3.5Y,3.0,35.5,,3.5 Y,/w/older-kids-shoes-681nlzagibjzv4dhzy7ok
nike,older-kids-shoes,kids,4Y,3.5,36.0,,4 Y,/w/older-kids-shoes-a86mozagibjzv4dhzy7ok
nike,older-kids-shoes,kids,4.5Y,4.0,36.5,,4.5 Y,/w/older-kids-shoes-8f8l9zagibjzv4dhzy7ok
nike,older-kids-shoes,kids,5Y,4.5,37.5,,5 Y,/w/older-kids-shoes-21f2mzagibjzv4dhzy7ok
nike,older-kids-shoes,kids,5.5Y,5.0,38.0,,5.5 Y,/w/older-kids-shoes-5vs8dzagibjzv4dhzy7ok
nike,older-kids-shoes,kids,6Y,5.5,38.5,,6 Y,/w/older-kids-shoes-6518wzagibjzv4dhzy7ok
nike,older-kids-shoes,kids,6.5Y,6.0,39.0,,6.5 Y,/w/older-kids-shoes-70asdzagibjzv4dhzy7ok
nike,older-kids-shoes,kids,7Y,6.0,40.0,,7 Y,/w/older-kids-shoes-8efwtzagibjzv4dhzy7ok
nike,older-kids-shoes,kids,11C,10.5,28.0,,11 C,/w/older-kids-shoes-1ang5zagibjzv4dhzy7ok
nike,older-kids-shoes,kids,12C,11.5,29.5,,12 C,/w/older-kids-shoes-2sv6bzagibjzv4dhzy7ok
nike,older-kids-shoes,kids,13C,12.5,31.0,,13 C,/w/older-kids-shoes-3bgsfzagibjzv4dhzy7ok
nike,women-shoes,women,4.5,2.5,34.5,21.6,4.5 US,/w/womens-shoes-5e1x6z7sfsyzy7ok
nike,women-shoes,women,5.0,3.0,35.0,22.0,5 US,/w/womens-shoes-5e1x6zb2h62zy7ok
nike,women-shoes,women,5.5,3.5,35.5,22.4,5.5 US,/w/womens-shoes-5e1x6zy7okzyt35
nike,women-shoes,women,6.0,4.0,36.5,22.9,6 US,/w/womens-shoes-4i7w1z5e1x6zy7ok
nike,women-shoes,women,6.5,4.5,37.0,23.3,6.5 US,/w/womens-shoes-5e1x6z77ghyzy7ok
nike,women-shoes,women,7.0,5.0,37.5,23.7,7 US,/w/womens-shoes-5e1x6zvyaizy7ok
nike,women-shoes,women,7.5,5.5,38.0,24.1,7.5 US,/w/womens-shoes-5e1x6z6p31wzy7ok
nike,women-shoes,women,8.0,6.0,39.0,24.6,8 US,/w/womens-shoes-5e1x6zom6bzy7ok
nike,women-shoes,women,8.5,6.5,39.5,25.0,8.5 US,/w/womens-shoes-1cssqz5e1x6zy7ok
nike,women-shoes,women,9.0,7.0,40.0,25.4,9 US,/w/womens-shoes-5e1x6z7p17azy7ok
nike,women-shoes,women,9.5,7.5,40.5,25.8,9.5 US,/w/womens-shoes-200vmz5e1x6zy7ok
nike,women-shoes,women,10.0,8.0,41.5,26.3,10 US,/w/womens-shoes-5e1x6z7xrj1zy7ok
nike,women-shoes,women,10.5,8.5,42.0,26.7,10.5 US,/w/womens-shoes-56vxcz5e1x6zy7ok
nike,women-shoes,women,11.0,9.0,42.5,27.1,11 US,/w/womens-shoes-5bmh1z5e1x6zy7ok
nike,women-shoes,women,11.5,9.5,43.5,27.5,11.5 US,/w/womens-shoes-3ms32z5e1x6zy7ok
nike,women-shoes,women,12.0,10.0,44.0,28.0,12 US,/w/womens-shoes-5e1x6z5jjvbzy7ok
nike,women-shoes,women,12.5,10.5,44.5,28.4,12.5 US,/w/womens-shoes-5e1x6z6ch1jzy7ok
nike,women-shoes,women,13.0,11.0,45.0,28.8,13 US,/w/womens-shoes-5e1x6zb1xcizy7ok
nike,women-shoes,women,13.5,11.5,46.0,29.2,13.5 US,/w/womens-shoes-5e1x6zgq8xzy7ok
nike,women-shoes,women,14.0,12.0,46.5,29.6,14 US,/w/womens-shoes-5e1x6z88difzy7ok
nike,women-shoes,women,14.5,12.5,47.0,30.1,14.5 US,/w/womens-shoes-5e1x6z5rl2czy7ok
nike,women-shoes,women,15.0,13.0,47.5,30.5,15 US,/w/womens-shoes-5e1x6z9pl4gzy7ok
nike,women-shoes,women,15.5,13.5,48.5,30.9,15.5 US,/w/womens-shoes-5e1x6z72tdlzy7ok
nike,women-shoes,women,16.5,14.5,49.5,31.8,16.5 US,/w/womens-shoes-4les7z5e1x6zy7ok
